الاسم,الفئة,الكمية,البيع قطاعي,البيع جملة,التكلفة,الكود,حد الطلب
بلي kbc كوري 6305,وان > وان,0,0,0,,100101,0
بلي koyo ياباني 6204,وان > وان,0,0,0,,100102,0
بلي koyo ياباني 6207,وان > وان,0,200,170,140,100103,0
بلي nachi ياباني 6206,وان > وان,0,0,0,,100104,0
بلي nachi ياباني 6305,وان > وان,0,170,150,120,100105,0
بلي nachi ياباني 6306,وان > وان,0,230,200,175,100106,0
بلي nsk بولندي 6002,وان > وان,0,80,70,60,029176012372,0
بلي nsk بولندي 6201,وان > وان,0,70,65,55,0029176063923,0
بلي nsk ياباني 6201,الزرقاوي,0,75,65,60,4549250151859,0
بلي NSK ياباني 6306,وان > وان,0,270,250,230,100110,0
بلي nsk ياباني 6307,وان > وان,0,0,0,,100111,0
بلي URB 6305 روماني,وان > وان,0,0,0,,100112,0
بلية nsk بولندي 6203DDU,وان > وان,-2,100,80,68,029176064098,0
بلية nsk بولندي dduc3 6204,الزرقاوي,10,110,95,87,029176064173,0
بلية nsk بولندي  DDU 6205,وان > وان,0,140,120,107,029176064203,0
بلية nsk بولندي 6206zzc3,وان > وان,10000,180,160,145,029176014574,0
بلية nsk ياباني 6203,وان > وان,0,0,0,,100117,0
بلية nsk ياباني 6206,وان > وان,0,200,180,160,100118,0
بلية SKF وان 6206,وان > وان,0,240,220,200,100424,0
بلية SKF وان 6304,وان > وان,0,120,105,95,100425,0
بادي توشيبا 10ك هاف استنلس حر,وان > وان,0,700,670,630,100466,0
بادي توشيبا 10ك هاف صاج تقيل*,وان > وان,0,530,500,460,100467,0
بادي توشيبا 12ك هاف استنلس حر*,وان > وان,0,730,700,670,100468,0
بادي توشيبا 12ك هاف صاج,وان > وان,0,500,470,430,100469,0
بادي توشيبا 5*6ك هاف استنلس حر,وان > وان,0,550,530,500,100470,0
بادي توشيبا 5*6ك هاف صاج تقيل,وان > وان,0,380,350,330,100471,0
بادي توشيبا 7ك هاف استنلس حر,وان > وان,0,550,530,500,100472,0
بادي توشيبا 7ك هاف صاج تقيل*,وان > وان,0,400,380,330,100473,0
بادي توشيبا 7ك هاف صاج خفيف,وان > وان,0,300,280,250,100474,0
بادي توشيبا 8ك فوق استنلس حر,وان > وان,0,800,770,735,100475,0
بادي توشيبا 8ك فوق صاج تقيل جدا,وان > وان,0,650,600,570,100476,0
بادي توشيبا 8ك فوق صاج ثقيل,وان > وان,0,580,550,520,100477,0
بادي توشيبا 8ك فوق نيكل كروم,وان > وان,0,700,670,635,100478,0
بادي صاج غ توشيبا 10*11ك ابيض,وان > وان,0,900,850,740,100242,0
بادي صاج غ توشيبا 10*11ك سلفر,وان > وان,0,950,900,770,100243,0
بادي صاج غ توشيبا 10ك هاف اصلى,وان > وان,0,800,750,650,100244,0
بادي صاج غ توشيبا 12ك هاف اصلى,وان > وان,0,850,800,720,100245,0
بادي صاج غ توشيبا 13*15*17ك أبيض,وان > وان,0,1050,1000,830,100246,0
بادي صاج غ توشيبا 6ك هاف اصلى,وان > وان,0,650,600,520,100247,0
بادي صاج غ توشيبا 7ك هاف اصلى,وان > وان,0,650,600,530,100248,0
بادي صاج غ توشيبا 8ك فوق اصلي,توشيبا العربي,2,800,800,700,100249,0
بادي فيكتوريا 7ك صاج,وان > وان,0,2100,2100,2000,100207,0
بادي فيكتوريا 7ك صاج new,وان > وان,0,2100,2100,2000,100208,0
بادي فيكتوريا 7ك صاج فضى,وان > وان,0,2200,2200,2100,100209,0
بادي فيكتوريا فضى,وان > وان,0,2200,2200,2100,100210,0
بادي زانوسي 18,وان > وان,0,1350,1150,1000,100084,0
بادي كومفورت,وان > وان,0,1500,1400,1200,100085,0
بوردة توشيبا 8ك اصلي الجديدة,وان > وان,0,1000,950,850,2014382279,0
بوردة توشيبا 9770*1150*1170*1190 اصلى,وان > وان,0,950,900,850,100250,0
بوردة زانوسي فوق بالكابل,وان > وان,0,950,875,775,100500,0
بوردة سامسونج,وان > وان,0,1000,950,850,100501,0
بوردة كريازى تلاجة اصلى,وان > وان,0,1000,950,800,100364,0
بوردة وايت بوينت مصري,وان > وان,0,1200,1200,900,100579,0
بوردة يونيون اير 13ك,وان > وان,0,950,875,775,100398,0
بورده 7m زانوسي,وان > وان,0,2700,2550,2500,100211,0
بورده زانوسي550,وان > وان,0,1600,1550,1450,100212,0
بورده فيكتوريا 580*,الكترولوكس,0,1850,1800,1750,-247929033,0
بورده فيكتوريا 7100*,الكترولوكس,0,1850,1800,1750,100213,0
بورده فيكتوريا 8100*,الكترولوكس,0,1850,1800,1750,-247929051,0
بورده فيكتوريا SW650,الكترولوكس,0,1800,1750,1650,100214,0
تاكو lg حاتم,وان > وان,0,300,250,210,100310,0
تاكو توشيبا 8ك,وان > وان,0,150,100,80,100251,0
تايم,وان > وان,0,75,80,55,100123,0
تايمر 10 طرف 1009*,الكترولوكس,0,1400,1350,1250,100215,2
تايمر 3 طرف محمد السيد,وان > وان,0,70,50,40,100395,0
تايمر اكواتيك,وان > وان,0,1350,1300,1225,,0
تايمر اكواتيك شركة*,الكترولوكس,5,1400,1350,1250,310093208,1
تايمر العبد حاتم,حاتم سيف,2,1000,1000,950,100311,1
تايمر عصاره توشيبا 10*12ك  اصلي,وان > وان,0,100,80,70,2014385379,0
تايمر عصاره توشيبا 6*7ك  هاف اصلي,وان > وان,0,100,80,70,2014385362,0
تايمر غسيل غ توشيبا اصلى 6*7*10*12ك هاف,وان > وان,0,150,130,110,2014385317,0
ترس جيربوكس توشيبا 8*10*11ك,وان > وان,0,170,150,85,100252,0
ترس جيربوكس توشيبا 8*10*11ك  استعمال,وان > وان,0,100,60,30,100077,0
ثيرموديسك تيلاندى توشيبا,النيل,0,120,100,80,,0
جربوكس فوق صاجة كاملة اكس قصير 1,وان > وان,0,0,0,,100502,0
جربوكس وايت بيونت نصف صاجه,وان > وان,0,0,0,,100503,0
جريبوكس العبد اكس مربع 6 مسمار طويل,وان > وان,0,155,135,120,100121,0
جريبوكس توشيبا ستار,وان > وان,0,170,150,135,100348,0
جريبوكس ديكس 6 مسمار مشرشر اكس عريض,وان > وان,0,170,150,135,100029,0
